"","X","game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","round_condition","stage","score","stage.f","game.f","interaction_lvl","opp_type","condition.f","adj_score"
"11",11,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",11,"scissors",523,"paper",1926.224269,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"12",12,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",12,"paper",1457,"rock",1560.825916,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"13",13,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",13,"rock",3618,"scissors",1693.562297,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"14",14,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",14,"scissors",690,"paper",947.8955344,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"15",15,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",15,"paper",240,"rock",1821.405194,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"16",16,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",16,"rock",1168,"scissors",569.0838526,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"17",17,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",17,"scissors",1053,"paper",1372.078486,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"18",18,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",18,"paper",2488,"rock",1429.382668,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"19",19,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",19,"rock",2074,"scissors",679.1101892,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"20",20,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",20,"scissors",1146,"paper",1583.259823,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"21",21,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",1,"scissors",7106,"paper",1589.509054,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"22",22,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",2,"paper",2426,"rock",1663.54313,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"23",23,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",3,"rock",1384,"scissors",828.8393269,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"24",24,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",4,"scissors",373,"paper",940.9829917,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"25",25,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",5,"paper",618,"rock",1018.600992,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"26",26,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",6,"rock",996,"scissors",730.4049187,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"27",27,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",7,"scissors",1477,"paper",727.1555108,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"28",28,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",8,"paper",690,"rock",1810.827009,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"29",29,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",9,"rock",877,"scissors",1295.153076,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"30",30,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",10,"scissors",1572,"paper",1831.581747,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"31",31,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",11,"paper",641,"rock",1489.111548,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"32",32,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",12,"rock",1725,"scissors",929.0855824,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"33",33,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",13,"scissors",621,"paper",1862.510145,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"34",34,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",14,"paper",611,"rock",1568.854315,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"35",35,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",15,"rock",1918,"scissors",1013.334382,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"36",36,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",16,"scissors",879,"paper",1773.424725,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"37",37,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",17,"paper",962,"rock",793.4992074,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"38",38,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",18,"paper",964,"scissors",1754.764526,"AI","Level1",2,-1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",-1
"39",39,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",19,"rock",1401,"scissors",1495.21443,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"40",40,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",20,"scissors",920,"paper",1197.306286,"human","Level1",2,1,"Stage 2","RPS","first interaction","Level_1","lvl_2 first",1
"41",41,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",1,"rock",6943,"rock",930.1504087,"tie","Level2",3,0,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",0
"42",42,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",2,"scissors",864,"scissors",1223.608523,"tie","Level2",3,0,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",0
"43",43,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",3,"rock",827,"paper",1466.290037,"AI","Level2",3,-1,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",-1
"44",44,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",4,"scissors",2595,"rock",672.7464518,"AI","Level2",3,-1,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",-1
"45",45,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",5,"paper",1316,"scissors",647.3813874,"AI","Level2",3,-1,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",-1
"46",46,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",6,"rock",695,"paper",1907.296786,"AI","Level2",3,-1,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",-1
"47",47,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",7,"rock",1483,"rock",943.9218497,"tie","Level2",3,0,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",0
"48",48,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",8,"paper",406,"paper",1710.484777,"tie","Level2",3,0,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",0
"49",49,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",9,"rock",2065,"rock",694.596839,"tie","Level2",3,0,"Stage 3","RPS","second interaction","Level_2","lvl_2 first",0
